Zip Code,2019 House Mean,2019 Dec House Price,Social Studies Mean,Social Studies Median
34654,206975.0,208002.25,65.33333333333333,68.0
34655,259088.5,260167.25,88.66666666666667,91.0
34668,126369.5,126906.66666666667,77.0,77.0
34669,183608.0,184326.25,65.0,67.0
34683,328649.5,329876.6666666667,85.33333333333333,85.0
34684,263362.5,264359.0,73.0,73.0
34688,428696.5,429073.4166666667,92.0,91.0
34689,264509.5,265374.6666666667,74.0,74.0
34691,124705.0,125239.66666666667,64.5,64.5
34695,326476.0,327478.9166666667,64.0,64.0
34698,286688.5,287119.5,79.75,84.0
34711,272621.5,273035.75,81.42857142857143,80.0
34715,259650.5,260129.33333333334,74.0,74.0
34736,233387.0,233548.25,68.0,68.0
34741,211528.0,209970.66666666666,72.66666666666667,70.0
34743,218559.5,217159.08333333334,71.0,71.0
34744,244192.0,242779.25,74.0,77.5
34746,242845.5,241418.91666666666,69.2,74.0
34747,321974.0,320297.3333333333,80.33333333333333,76.0
34748,177959.0,178381.75,62.333333333333336,65.0
34758,209044.5,207854.16666666666,66.0,62.0
34759,185301.5,185564.08333333334,71.5,71.5
34761,265247.5,266099.5833333333,79.66666666666667,76.5
34769,202047.5,200801.5,78.0,79.5
34771,310159.0,308531.4166666667,82.0,82.0
34772,260510.5,259507.08333333334,67.0,67.0
34773,265655.0,264857.25,83.0,83.0
34785,125368.5,126238.25,70.0,70.0
34786,445079.0,446150.1666666667,76.0,76.0
34787,343521.0,344641.75,75.75,79.5
34947,112405.5,112468.58333333333,53.5,53.5
34950,105071.0,104498.33333333333,61.666666666666664,56.0
34952,209099.0,208904.66666666666,68.0,68.0
34953,237100.5,236909.66666666666,67.5,67.5
34956,132139.5,131953.33333333334,95.0,95.0
34957,292822.0,293269.0,87.0,87.0
34972,137616.0,137318.08333333334,55.0,55.0
34974,155913.0,155908.08333333334,77.5,77.5
34981,227858.0,228099.08333333334,70.0,70.0
34983,215579.5,215289.91666666666,72.5,72.5
34986,265191.0,264713.4166666667,77.66666666666667,76.5
34987,276606.5,276487.75,81.25,82.0
34994,296084.0,296011.3333333333,88.0,88.0
34997,300636.0,300847.25,83.25,84.5
